课程,学分,任课教师,职称,上课班级,上课班级名称,人数/班级,上课群组名称,行政班级,周次,节次,上课地点,承担单位
皮肤性病学[讲课学时],2,肖嵘,未定,014472,,79/6,,"预防16级附二四组,预防16级附二五组,预防16级附二一组,预防16级附二三组,预防16级附二二组,预防16级附二六组",3-10,101020304,新科教楼0204,湘雅二医院皮肤性病学教研室
内科学B[讲课学时],4,诸兰艳,讲师（高校）,014481,,79/6,,"预防16级附二三组,预防16级附二二组,预防16级附二五组,预防16级附二四组,预防16级附二一组,预防16级附二六组",1-2,101020304,新科教楼0204,湘雅二医院内科学教研室
内科学B[讲课学时],4,诸兰艳,讲师（高校）,014481,,79/6,,"预防16级附二三组,预防16级附二二组,预防16级附二五组,预防16级附二四组,预防16级附二一组,预防16级附二六组",3-10,501020304,新科教楼0204,湘雅二医院内科学教研室
内科学B[讲课学时],4,诸兰艳,讲师（高校）,014481,,79/6,,"预防16级附二三组,预防16级附二二组,预防16级附二五组,预防16级附二四组,预防16级附二一组,预防16级附二六组",11-14,101020304,新科教楼0204,湘雅二医院内科学教研室
毛泽东思想与中国特色社会主义理论体系概论,5,胡晓,讲师（高校）,014497,,79/6,,"预防16级附二二组,预防16级附二三组,预防16级附二一组,预防16级附二六组,预防16级附二四组,预防16级附二五组",15-18,101020304,新科教楼0204,概论教研中心
毛泽东思想与中国特色社会主义理论体系概论,5,胡晓,讲师（高校）,014497,,79/6,,"预防16级附二二组,预防16级附二三组,预防16级附二一组,预防16级附二六组,预防16级附二四组,预防16级附二五组",3-18,301020304,新科教楼0204,概论教研中心
传染病学B[讲课学时],1.5,何艳,讲师（高校）,014500,,79/6,,"预防16级附二五组,预防16级附二三组,预防16级附二二组,预防16级附二六组,预防16级附二一组,预防16级附二四组",11-14,501020304,新科教楼0204,湘雅二医院感染病学教研室
妇产科学B[讲课学时],1.5,陈建林,讲师（高校）,014518,,79/6,,"预防16级附二二组,预防16级附二五组,预防16级附二一组,预防16级附二三组,预防16级附二六组,预防16级附二四组",3-10,405060708,新科教楼0204,湘雅二医院妇产科学教研室
中国近现代史纲要,2,罗春梅,副教授,014970,,50/2,,"口腔医学（5+3）1801,口腔医学（5+3）1802","1,3,5,7,9,11,13,15-16",20304,B座313,史纲教研中心
细胞生物学C,2,"张树冰,项荣,周叶方,刘慕君,李杰,言惠文","教授,教授,副教授,副教授,副教授,副教授",014972,,50/2,,"口腔医学（5+3）1801,口腔医学（5+3）1802",1-16,40304,,细胞生物学系
形势与政策,2,李建军,副研究员,014974,,108/4,,"地信类1812,地信类1811,地信类1813,地信类1814","8,14",20708,A座101,形势与政策教研中心
大学英语（二）,3,荣觅,讲师（高校）,014976,,25/1,,口腔医学（5+3）1801,1-16,10102,外语网络楼103,大学外语部
大学英语（二）,3,荣觅,讲师（高校）,014976,,25/1,,口腔医学（5+3）1801,1-16,40506,外语网络楼351,大学外语部
大学英语（二）,3,石海英,讲师（高校）,014977,,25/1,,口腔医学（5+3）1802,1-16,40506,外语网络楼105,大学外语部
大学英语（二）,3,石海英,讲师（高校）,014977,,25/1,,口腔医学（5+3）1802,1-16,20102,外语网络楼453,大学外语部
高等数学C2（二）,4,张美媛,讲师（高校）,014982,,22/3,,"口腔医学（5+3）1802,口腔医学（5+3）1801,医学四年类1813",1-16,50304,C座206,高等数学教学研究中心
高等数学C2（二）,4,张美媛,讲师（高校）,014982,,22/3,,"口腔医学（5+3）1802,口腔医学（5+3）1801,医学四年类1813",1-16,10910,C座205,高等数学教学研究中心
有机化学实验C,1.5,于金刚,教授,014986,,25/1,,口腔医学（5+3）1801,2-16,205060708,,有机及高分子化学系
有机化学实验C,1.5,施树云,教授,014987,,25/1,,口腔医学（5+3）1802,2-16,205060708,,有机及高分子化学系
有机化学C,3.5,于金刚,教授,014988,,50/2,,"口腔医学（5+3）1801,口腔医学（5+3）1802",1-14,30304,A座414,有机及高分子化学系
有机化学C,3.5,于金刚,教授,014988,,50/2,,"口腔医学（5+3）1801,口腔医学（5+3）1802",1-14,10304,A座414,有机及高分子化学系
大学生心理健康教育,1,林洁,,014991,,99/3,,"医学五年类1804,医学五年类1803,医学五年类1805",9-16,20506,C座205,思想政治教育系
大学生心理健康教育,1,叶湘虹,副教授,014994,,77/3,,"计算机信息类1816,医学五年类1801,医学五年类1802",9-16,50506,C座311,思想政治教育系
细胞生物学实验C,1,"周叶方,刘慕君","副教授,副教授",015003,,83/3,,"口腔医学（5+3）1801,口腔医学（5+3）1802,医学五年类1805",1-8,105060708,,细胞生物学系
细胞生物学实验C,1,"周叶方,刘慕君","副教授,副教授",015004,,116/4,,"医学五年类1804,医学五年类1801,医学五年类1803,医学五年类1802",1-8,305060708,,细胞生物学系
细胞生物学C,2,"周叶方,李杰,言惠文,刘慕君,项荣,张树冰,夏赞贤","副教授,副教授,副教授,副教授,教授,教授,教授",015011,,99/3,,"医学五年类1803,医学五年类1805,医学五年类1804",9-16,50102,B座315,细胞生物学系
细胞生物学C,2,"周叶方,李杰,言惠文,刘慕君,项荣,张树冰,夏赞贤","副教授,副教授,副教授,副教授,教授,教授,教授",015011,,99/3,,"医学五年类1803,医学五年类1805,医学五年类1804",9-16,20708,B座315,细胞生物学系
细胞生物学C,2,"项荣,李杰,夏赞贤,周叶方,言惠文,刘慕君,张树冰","教授,副教授,教授,副教授,副教授,副教授,教授",015014,,66/3,,"医学四年类1802,医学四年类1803,医学四年类1801",9-16,10708,C座308,细胞生物学系
细胞生物学C,2,"项荣,李杰,夏赞贤,周叶方,言惠文,刘慕君,张树冰","教授,副教授,教授,副教授,副教授,副教授,教授",015014,,66/3,,"医学四年类1802,医学四年类1803,医学四年类1801",9-16,30910,C座308,细胞生物学系
形势与政策,2,王昊,助理研究员,015019,,149/5,,"医学五年类1803,医学五年类1801,医学五年类1805,医学五年类1804,医学五年类1802","8,14",50910,B座113,形势与政策教研中心
申论与公文写作,2,陈媛,副教授,015020,,0/2,,"医学五年类1804,医学五年类1805",1-8,50102,A座108,行政管理系
申论与公文写作,2,陈媛,副教授,015020,,0/2,,"医学五年类1804,医学五年类1805",1-8,20506,A座308,行政管理系
申论与公文写作,2,陈媛,副教授,015024,,0/3,,"医学五年类1803,医学五年类1801,医学五年类1802",1-8,20304,C座403,行政管理系
申论与公文写作,2,陈媛,副教授,015024,,0/3,,"医学五年类1803,医学五年类1801,医学五年类1802",1-8,50506,A座104,行政管理系
大学英语（二）,3,严安,讲师（高校）,015025,,33/1,,医学五年类1804,1-16,20304,外语网络楼137,大学外语部
大学英语（二）,3,严安,讲师（高校）,015025,,33/1,,医学五年类1804,1-16,50506,A座321,大学外语部
大学英语（二）,3,黄懿,讲师（高校）,015026,,33/1,,医学五年类1803,1-16,10304,外语网络楼444,大学外语部
大学英语（二）,3,黄懿,讲师（高校）,015026,,33/1,,医学五年类1803,1-16,40304,A座124,大学外语部
大学英语（二）,3,严安,讲师（高校）,015027,,21/1,,医学五年类1802,1-16,40304,外语网络楼119,大学外语部
大学英语（二）,3,严安,讲师（高校）,015027,,21/1,,医学五年类1802,1-16,20506,外语网络楼224,大学外语部
大学英语（二）,3,马静,讲师（高校）,015028,,33/1,,医学五年类1805,1-16,20304,外语网络楼352,大学外语部
